Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4,years,month,day_of_month,is_weekend,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,dawn,morning,noon,afternoon,evening,midnight,Global_active_power
0.229,234.64389,18.1,0.0,0.5277778,16.86111,52.99259,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4.222889
0.08003333,234.58017,15.6,0.0,6.7166667,16.866667,36.953335,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.6322
0.08523333,233.2325,14.503333,0.0,1.4333333,16.683332,38.55389,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.4002333
0.0751,234.0715,13.916667,0.0,0.0,16.783333,37.69278,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.2685666
0.07666667,237.15866,13.046667,0.0,0.41666666,17.216667,33.307777,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0564666
0.056166667,238.76,9.523334,0.0,0.13333334,4.4333334,32.102222,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.2001333
0.071433336,240.61966,8.896667,0.0,0.083333336,0.0,34.27667,2006,12,16,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.0616
0.10243333,240.96184,8.126667,0.0,0.46666667,0.0,30.907778,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8824667
0.13693333,240.44833,14.246667,0.0,25.233334,0.0,30.59,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.3494
0.07823333,245.81866,6.87,0.0,0.56666666,0.0,25.887777,2006,12,17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5872667
0.07953333,244.5135,7.2066665,0.0,0.76666665,0.0,26.936666,2006,12,17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.6622
0.09346667,243.8555,9.333333,0.0,0.56666666,8.883333,27.479445,2006,12,17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.2157667
0.060233332,243.71016,8.566667,0.0,0.16666667,4.65,28.462223,2006,12,17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9967333
0.09483334,244.1415,5.53,0.0,0.71666664,0.0,21.005,2006,12,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.3033
0.0598,241.84567,6.8033333,0.0,0.16666667,0.0,26.833889,2006,12,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.6200334
0.11856667,241.3115,8.05,0.0,0.75,0.0,30.759445,2006,12,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8905667
0.07923333,238.84784,10.973333,0.0,7.3166666,0.0,35.167778,2006,12,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2.5490668
0.1946,235.441,15.533334,8.883333,22.35,16.15,13.098333,2006,12,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.6289
0.2007,236.92467,10.493333,9.45,5.016667,17.183332,9.533334,2006,12,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.471
0.29403332,237.78467,8.136666,0.0,0.53333336,17.316668,14.081111,2006,12,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.9158666
0.17153333,239.92067,6.923333,0.0,0.05,17.616667,10.012777,2006,12,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.6607667
0.2574,244.04567,8.6,0.0,0.33333334,18.233334,16.310555,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0926332
0.0886,240.48083,12.426666,6.9666667,0.2,17.7,24.89,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.9854
0.09313333,236.78183,14.006667,8.583333,0.06666667,17.166666,29.617222,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.3260334
0.16663334,234.22983,14.51,0.0,0.46666667,16.816668,39.496113,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.4067667
0.13506667,234.37233,15.75,0.0,0.0,16.833334,44.785,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.6971
0.26516667,233.19566,12.516666,0.0,0.51666665,16.683332,31.273333,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.9084
0.2715,236.4265,14.276667,0.0,1.1166667,17.116667,37.791668,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.3615
0.26796666,239.10417,12.716666,0.0,1.2,17.5,31.979445,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0407667
0.23536667,242.19234,6.383333,0.0,0.41666666,2.5,22.383333,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.518
0.2218,245.734,1.9966667,0.0,0.8,0.0,6.4955554,2006,12,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.43773332
0.09906667,244.6075,1.2233334,0.0,0.033333335,0.0,4.5727777,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.27636668
0.1519,243.51933,1.4166666,0.0,0.5833333,0.0,4.6383333,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3133
0.109066665,246.891,1.2566667,0.0,0.0,0.0,4.741111,2006,12,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28446665
0.14776666,245.73183,1.4,0.0,0.56666666,0.0,4.598889,2006,12,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.30993333
0.08,245.507,4.1766667,0.0,0.06666667,12.55,4.4888887,2006,12,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0263333
0.12193333,245.25317,1.2933333,0.0,0.46666667,0.0,4.4249997,2006,12,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2935
0.1129,245.70433,2.6,0.0,0.083333336,0.0,10.083333,2006,12,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.61
0.153,240.96233,10.22,0.083333336,0.45,11.3,29.007221,2006,12,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.4504333
0.07373333,237.88034,8.726666,12.466666,0.033333335,17.35,4.852222,2006,12,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0821333
0.08516667,237.40466,6.8166666,5.1666665,0.48333332,17.266666,4.2388887,2006,12,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.6293334
0.052833334,239.0805,5.4266667,0.0,0.0,17.5,4.3272223,2006,12,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.3096334
0.12733333,239.771,6.47,0.0,0.51666665,17.6,7.9155555,2006,12,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.5619333
0.0873,242.58,7.2466664,0.0,0.0,18.016666,11.251111,2006,12,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.7560667
0.1265,241.95416,6.94,0.0,0.53333336,17.366667,10.134444,2006,12,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.6820667
0.0493,242.1965,7.096667,0.0,0.0,17.383333,11.500556,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.7330333
0.10406667,242.4235,7.31,0.0,0.51666665,17.983334,11.238334,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.7843
0.20443334,242.38066,8.096666,0.0,0.0,17.983334,14.505,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.9493
0.0978,238.72917,8.993333,0.0,0.33333334,17.45,18.131666,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.1549
0.0791,236.6685,10.083333,0.0,0.25,16.916666,22.875555,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.4025333
0.20076667,235.32916,11.19,0.0,9.1,0.0,34.475,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.6145
0.12036667,234.52434,13.046667,0.0,0.5,13.25,37.092777,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0505667
0.07173333,237.59084,9.24,0.0,0.0,3.7166667,32.445557,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.1697333
0.10796667,240.2115,7.25,0.0,8.85,0.0,20.13,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7388
0.1325,242.65933,6.6,0.0,20.316668,0.0,5.471111,2006,12,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.5472667
0.09283333,242.07117,3.5433333,0.0,0.96666664,8.15,4.8355556,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.83713335
0.07586667,241.80833,1.57,0.0,0.25,0.73333335,4.9005556,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.35303333
0.105733335,245.7795,1.4633334,0.0,0.6333333,0.0,4.8205557,2006,12,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.32723334
0.073,244.46317,1.3633333,0.0,0.16666667,0.0,4.971667,2006,12,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3083
0.102466665,244.1865,1.5,0.0,0.71666664,0.0,4.7472224,2006,12,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.32783332
0.07086667,243.07584,1.38,0.0,0.16666667,0.0,4.9444447,2006,12,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.30666667
0.1068,242.02966,3.4666667,0.0,0.68333334,0.0,12.588889,2006,12,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7963333
0.08443333,239.42616,7.5433335,0.0,0.0,7.4,22.360556,2006,12,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.7856333
0.122433335,236.14633,16.54,9.35,26.183332,17.1,12.017222,2006,12,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.8790333
0.087466665,239.57233,6.963333,4.633333,14.366667,3.2666667,4.696111,2006,12,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.6177666
0.12576666,242.30566,1.9433334,0.0,1.4166666,0.0,5.868889,2006,12,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.43713334
0.084533334,240.325,9.863334,0.0,34.35,0.0,4.3438888,2006,12,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.3216333
0.1327,242.95866,1.9233333,0.0,2.9166667,0.0,4.2611113,2006,12,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.43066666
0.081766665,243.6025,1.2933333,0.0,0.6166667,0.0,4.391111,2006,12,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.30046666
0.11886667,246.94583,1.3333334,0.0,0.75,0.0,4.2855554,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.30213332
0.080866665,241.74066,1.8066666,0.0,0.16666667,2.2166667,4.6394444,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.42136666
0.09166667,242.71434,5.613333,0.0,0.71666664,18.033333,4.118889,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.3721334
0.14443333,238.60667,8.843333,0.0,0.16666667,17.433332,17.591667,2006,12,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.1115
